OS, Window7
랜섬웨어,복구도구
ransomware.exe, recovery1.exe
테스트 날짜, 감염시작, 감염종료, 복구시작, 복구종료
2019년 4월 2일, 2:31:56, 2:32:2, 2:32:6, 2:32:34
테스트한 총 파일 개수, 복구한 파일 개수
240, 240
파일명, 원본 Hash, 감염 Hash, 복구 Hash
101.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
102.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
103.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
104.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
105.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
106.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
107.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
108.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
109.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
110.pdf, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88, CBC9427875AC6C5B0CA09C6289BBD16C8FCDB06A, 74B8C86ABC9C91334E0A059D1CDB0C5041752A88
